NAME,AGE,GENDER,INCOME,EMAIL
John,28,Male,50000.0,John.Doe@Example.Com
Jane,30,Female,55000.0,Jane_Smith@Example.Com
Tom,35,Male,60000.0,Tom.Jones@Example.Com
Anna,22,Female,55000.0,Anna.Brown@Example.Com
Lucas,30,Male,45000.0,Lucas_White@Example.Com
Laura,25,Female,47000.0,Laura.Green@Example.Com
Tom,40,Male,70000.0,Michael.White@Example.Com
Sophia,29,Female,60000.0,Sophia_Blue@Example.Com
Ethan,38,Male,55000.0,Ethan_Red@Example.Com
Tom,30,Male,62000.0,Tom.Jones@Example.Com
James,30,Male,55000.0,James.Black@Example.Com
Emma,24,Female,48000.0,Emma_White@Example.Com
Oliver,30,Male,57000.0,Oliver_Blue@Example.Com
